DateTime,Media Temperatura,Temperatura Intervallo,Temperatura Intervallo,Media Umidità
DateTime,Media Temperatura,low,high,Media Umidità
11.07.2024 01:00:00,17,17,17,866
11.07.2024 02:00:00,1632,157,169,8683
11.07.2024 03:00:00,1547,154,156,8732
11.07.2024 04:00:00,1467,144,152,8819
11.07.2024 05:00:00,1454,144,147,8745
11.07.2024 06:00:00,151,145,158,8468
11.07.2024 07:00:00,2083,161,25,6934
11.07.2024 08:00:00,2842,253,303,4495
11.07.2024 09:00:00,3169,304,323,3604
11.07.2024 10:00:00,3167,314,321,3407
11.07.2024 11:00:00,3177,315,323,3875
11.07.2024 12:00:00,3236,32,327,3875
11.07.2024 13:00:00,3288,325,334,385
11.07.2024 14:00:00,3348,332,341,3738
11.07.2024 15:00:00,3402,336,346,3515
11.07.2024 16:00:00,341,338,346,3389
11.07.2024 17:00:00,34,338,342,3366
11.07.2024 18:00:00,3332,328,34,3624
11.07.2024 19:00:00,3195,314,325,4071
11.07.2024 20:00:00,3025,275,317,4669
11.07.2024 21:00:00,2472,23,27,6158
11.07.2024 22:00:00,2263,215,236,6835
11.07.2024 23:00:00,2064,203,214,743
12.07.2024 00:00:00,1978,19,206,7468
12.07.2024 01:00:00,1844,177,198,7929
12.07.2024 02:00:00,1716,167,179,8368
12.07.2024 03:00:00,1669,163,172,8505
12.07.2024 04:00:00,1597,158,162,8931
12.07.2024 05:00:00,1583,157,16,9172
12.07.2024 06:00:00,1571,156,161,9294
12.07.2024 07:00:00,2048,164,244,7924
12.07.2024 08:00:00,2702,249,295,5489
12.07.2024 09:00:00,3139,302,33,4256
12.07.2024 10:00:00,3354,327,344,383
12.07.2024 11:00:00,3438,331,35,3642
12.07.2024 12:00:00,3579,345,365,337
12.07.2024 13:00:00,3562,347,361,3538
12.07.2024 14:00:00,3506,346,355,3555
12.07.2024 15:00:00,3514,347,355,3334
12.07.2024 16:00:00,3462,341,35,3298
12.07.2024 17:00:00,3423,338,347,3212
12.07.2024 18:00:00,3392,331,347,3035
12.07.2024 19:00:00,3324,324,341,3209
12.07.2024 20:00:00,3015,273,319,4152
12.07.2024 21:00:00,2345,216,263,6437
12.07.2024 22:00:00,203,193,213,7699
12.07.2024 23:00:00,1948,188,199,781
13.07.2024 00:00:00,1895,187,192,8236
13.07.2024 01:00:00,1883,186,20,8556
13.07.2024 02:00:00,1908,184,199,8525
13.07.2024 03:00:00,1906,189,193,8798
13.07.2024 04:00:00,1903,188,192,9165
13.07.2024 05:00:00,1915,19,193,9428
13.07.2024 06:00:00,1917,19,194,9552
13.07.2024 07:00:00,2102,192,241,922
13.07.2024 08:00:00,2565,243,265,7431
13.07.2024 09:00:00,2723,267,28,6921
13.07.2024 10:00:00,3048,281,325,5772
13.07.2024 11:00:00,3204,309,33,5125
13.07.2024 12:00:00,3366,328,348,4562
13.07.2024 13:00:00,3418,325,356,4519
13.07.2024 14:00:00,3273,319,34,5051
13.07.2024 15:00:00,3289,31,35,5165
13.07.2024 16:00:00,3223,306,338,5095
13.07.2024 17:00:00,3298,326,333,4498
13.07.2024 18:00:00,3232,319,328,4578
13.07.2024 19:00:00,3114,308,315,4615
13.07.2024 20:00:00,2925,256,31,4882
13.07.2024 21:00:00,2313,206,254,6492
13.07.2024 22:00:00,1936,186,202,7751
13.07.2024 23:00:00,1823,175,19,8404
14.07.2024 00:00:00,1709,169,174,9073
14.07.2024 01:00:00,1719,166,178,9291
14.07.2024 02:00:00,1629,162,164,9436
14.07.2024 03:00:00,168,165,171,9561
14.07.2024 04:00:00,1758,168,183,9606
14.07.2024 05:00:00,1768,174,181,9525
14.07.2024 06:00:00,1761,175,179,9544
14.07.2024 07:00:00,1969,18,229,9153
14.07.2024 08:00:00,2543,234,269,6614
14.07.2024 09:00:00,2975,273,313,4941
14.07.2024 10:00:00,3188,31,326,4602
14.07.2024 11:00:00,3335,318,35,4043
14.07.2024 12:00:00,3421,333,351,3995
14.07.2024 13:00:00,3482,339,358,419
14.07.2024 14:00:00,3554,35,36,4039
