DateTime,Media Temperatura,Temperatura Intervallo,Temperatura Intervallo,Media Umidità
DateTime,Media Temperatura,low,high,Media Umidità
30.07.2024 17:00:00,3364,335,34,3586
30.07.2024 18:00:00,3325,329,335,3476
30.07.2024 19:00:00,3269,309,334,3367
30.07.2024 20:00:00,2939,282,305,3883
30.07.2024 21:00:00,2758,27,281,4118
30.07.2024 22:00:00,2606,25,269,4526
30.07.2024 23:00:00,2372,224,247,549
31.07.2024 00:00:00,2155,213,222,6685
31.07.2024 01:00:00,2183,213,225,6676
31.07.2024 02:00:00,227,224,231,6472
31.07.2024 03:00:00,2169,208,225,686
31.07.2024 04:00:00,211,204,223,7059
31.07.2024 05:00:00,2021,199,204,7398
31.07.2024 06:00:00,1982,197,20,7624
31.07.2024 07:00:00,211,198,226,7378
31.07.2024 08:00:00,2418,228,257,6426
31.07.2024 09:00:00,2785,26,296,541
31.07.2024 10:00:00,3128,30,327,4402
31.07.2024 11:00:00,3387,33,35,3687
31.07.2024 12:00:00,3531,342,363,3465
31.07.2024 13:00:00,3697,368,376,3235
31.07.2024 14:00:00,3767,371,383,3138
31.07.2024 15:00:00,384,38,388,3057
31.07.2024 16:00:00,3824,377,387,3094
31.07.2024 17:00:00,3816,374,385,3118
31.07.2024 18:00:00,3614,351,373,3473
31.07.2024 19:00:00,3395,325,35,395
31.07.2024 20:00:00,3076,298,32,4709
31.07.2024 21:00:00,2871,279,296,5213
31.07.2024 22:00:00,2657,26,277,6115
31.07.2024 23:00:00,2397,23,258,7228
01.08.2024 00:00:00,2325,226,239,6539
01.08.2024 01:00:00,2334,23,24,6045
01.08.2024 02:00:00,2413,234,247,5487
01.08.2024 03:00:00,2297,225,24,5915
01.08.2024 04:00:00,2538,246,257,5204
01.08.2024 05:00:00,2574,255,26,5267
01.08.2024 06:00:00,2481,241,256,583
01.08.2024 07:00:00,2427,24,248,6517
01.08.2024 08:00:00,2658,25,279,5924
01.08.2024 09:00:00,2964,283,312,5188
01.08.2024 10:00:00,3239,314,333,472
01.08.2024 11:00:00,3477,339,353,4374
01.08.2024 12:00:00,3676,357,375,4055
01.08.2024 13:00:00,3822,377,389,3743
01.08.2024 14:00:00,3926,384,399,3291
01.08.2024 15:00:00,3963,391,40,3156
01.08.2024 16:00:00,3951,392,399,3142
01.08.2024 17:00:00,383,375,388,3345
01.08.2024 18:00:00,3715,364,376,2979
01.08.2024 19:00:00,3522,341,361,2428
01.08.2024 20:00:00,3333,325,34,2405
01.08.2024 21:00:00,3148,309,324,269
01.08.2024 22:00:00,3025,298,308,2915
01.08.2024 23:00:00,2905,283,297,3067
02.08.2024 00:00:00,27,257,282,5543
02.08.2024 01:00:00,2514,242,257,7531
02.08.2024 02:00:00,231,225,24,8402
02.08.2024 03:00:00,2198,214,225,8983
02.08.2024 04:00:00,2127,211,215,9305
02.08.2024 05:00:00,2102,209,211,9095
02.08.2024 06:00:00,2055,202,209,844
02.08.2024 07:00:00,2087,202,219,9046
02.08.2024 08:00:00,2338,222,244,8167
02.08.2024 09:00:00,2601,247,268,7196
02.08.2024 10:00:00,2873,271,301,5994
02.08.2024 11:00:00,3126,304,322,4908
02.08.2024 12:00:00,3357,327,344,4303
02.08.2024 13:00:00,3504,346,357,4038
02.08.2024 14:00:00,3616,356,366,3888
02.08.2024 15:00:00,3651,361,372,3868
02.08.2024 16:00:00,3693,363,373,3802
02.08.2024 17:00:00,3325,317,355,503
02.08.2024 18:00:00,3253,316,331,5467
02.08.2024 19:00:00,3013,293,314,6046
02.08.2024 20:00:00,2856,278,292,652
02.08.2024 21:00:00,2693,263,276,7103
02.08.2024 22:00:00,2561,253,261,7591
02.08.2024 23:00:00,2474,244,253,7848
03.08.2024 00:00:00,2388,235,244,8283
03.08.2024 01:00:00,2358,233,238,8513
03.08.2024 02:00:00,2369,233,241,8585
03.08.2024 03:00:00,2357,234,237,861
03.08.2024 04:00:00,2304,228,233,8865
03.08.2024 05:00:00,2276,227,228,9019
03.08.2024 06:00:00,2245,222,228,9163
03.08.2024 07:00:00,2343,229,243,901
03.08.2024 08:00:00,2559,246,269,8016
03.08.2024 09:00:00,2845,272,297,6823
03.08.2024 10:00:00,3005,298,302,6105
03.08.2024 11:00:00,309,297,319,6113
03.08.2024 12:00:00,2955,275,316,5795
03.08.2024 13:00:00,2446,229,27,6962
03.08.2024 14:00:00,2492,245,257,7032
03.08.2024 15:00:00,2656,259,278,6575
03.08.2024 16:00:00,2853,276,303,5942
03.08.2024 17:00:00,303,298,311,5126
03.08.2024 18:00:00,31,309,312,4794
03.08.2024 19:00:00,2985,278,309,5174
03.08.2024 20:00:00,2551,25,269,658
03.08.2024 21:00:00,2468,239,253,697
03.08.2024 22:00:00,2239,215,237,7939
03.08.2024 23:00:00,211,207,214,8571
04.08.2024 00:00:00,2052,202,207,8955
04.08.2024 01:00:00,1989,196,203,923
04.08.2024 02:00:00,2016,198,21,9145
04.08.2024 03:00:00,2038,193,212,8873
04.08.2024 04:00:00,1919,191,192,9394
04.08.2024 05:00:00,1942,189,199,9245
04.08.2024 06:00:00,189,185,195,9312
04.08.2024 07:00:00,2024,187,214,8776
04.08.2024 08:00:00,2242,213,243,7956
04.08.2024 09:00:00,2562,247,274,6799
04.08.2024 10:00:00,2895,277,305,5916
04.08.2024 11:00:00,3185,307,334,493
04.08.2024 12:00:00,3363,331,343,4194
04.08.2024 13:00:00,3448,34,349,4014
04.08.2024 14:00:00,3485,343,356,3898
04.08.2024 15:00:00,3515,344,358,3688
04.08.2024 16:00:00,3534,346,358,3653
04.08.2024 17:00:00,3403,333,345,3906
04.08.2024 18:00:00,3307,329,333,3542
04.08.2024 19:00:00,314,306,327,3807
04.08.2024 20:00:00,2886,277,302,4342
04.08.2024 21:00:00,2652,262,275,5241
04.08.2024 22:00:00,2528,234,261,5668
04.08.2024 23:00:00,2215,215,229,6963
05.08.2024 00:00:00,209,206,214,7622
05.08.2024 01:00:00,2022,20,207,7857
05.08.2024 02:00:00,1995,198,202,8002
05.08.2024 03:00:00,2019,198,204,7695
05.08.2024 04:00:00,2011,197,202,7324
05.08.2024 05:00:00,1931,191,195,7398
05.08.2024 06:00:00,1881,183,194,7511
05.08.2024 07:00:00,1995,193,209,7119
05.08.2024 08:00:00,2299,213,247,5861
05.08.2024 09:00:00,2657,251,282,475
05.08.2024 10:00:00,3035,287,315,4362
05.08.2024 11:00:00,3333,319,343,3825
05.08.2024 12:00:00,3495,343,354,3451
05.08.2024 13:00:00,3567,35,362,3222
05.08.2024 14:00:00,3667,363,372,3032
05.08.2024 15:00:00,3639,36,37,3097
05.08.2024 16:00:00,3556,343,363,3564
05.08.2024 17:00:00,3443,339,347,3826
05.08.2024 18:00:00,335,331,339,3948
05.08.2024 19:00:00,3205,31,332,4309
05.08.2024 20:00:00,2922,28,306,5196
05.08.2024 21:00:00,2725,268,278,6043
05.08.2024 22:00:00,2611,255,267,6655
05.08.2024 23:00:00,2453,235,256,7315
06.08.2024 00:00:00,2367,235,24,758
06.08.2024 01:00:00,2286,225,237,7887
06.08.2024 02:00:00,2226,222,225,8118
06.08.2024 03:00:00,2204,215,224,8159
06.08.2024 04:00:00,2125,21,215,8463
06.08.2024 05:00:00,2058,203,209,8795
06.08.2024 06:00:00,2015,20,203,9028
06.08.2024 07:00:00,2155,202,227,8415
06.08.2024 08:00:00,2432,23,257,7294
06.08.2024 09:00:00,2754,261,291,6245
06.08.2024 10:00:00,3075,292,321,5521
06.08.2024 11:00:00,3341,326,34,4746
06.08.2024 12:00:00,3492,341,356,435
06.08.2024 13:00:00,359,357,361,4028
06.08.2024 14:00:00,3675,359,373,3625
06.08.2024 15:00:00,3665,358,372,3606
06.08.2024 16:00:00,3595,35,367,3756
06.08.2024 17:00:00,346,332,352,3847
06.08.2024 18:00:00,3265,309,339,4149
06.08.2024 19:00:00,3018,296,308,4878
06.08.2024 20:00:00,2891,281,294,5267
06.08.2024 21:00:00,2741,273,279,5597
06.08.2024 22:00:00,2604,246,273,6057
06.08.2024 23:00:00,2406,238,244,6844
07.08.2024 00:00:00,2325,229,237,7386
07.08.2024 01:00:00,2264,224,229,7821
07.08.2024 02:00:00,2329,228,235,7494
07.08.2024 03:00:00,224,221,232,782
07.08.2024 04:00:00,2322,225,236,7505
07.08.2024 05:00:00,2312,229,235,7594
07.08.2024 06:00:00,219,212,228,8171
07.08.2024 07:00:00,2172,212,229,8476
07.08.2024 08:00:00,2458,232,26,7377
07.08.2024 09:00:00,2755,263,288,6287
07.08.2024 10:00:00,3093,292,326,5106
07.08.2024 11:00:00,3405,33,356,4256
07.08.2024 12:00:00,3612,355,37,3895
07.08.2024 13:00:00,3667,352,376,3778
07.08.2024 14:00:00,3503,342,362,4033
07.08.2024 15:00:00,372,359,377,3705
07.08.2024 16:00:00,3393,33,349,4319
07.08.2024 17:00:00,3204,309,346,4751
07.08.2024 18:00:00,3012,294,307,5293
07.08.2024 19:00:00,2878,283,293,5772
07.08.2024 20:00:00,2684,219,282,6352
07.08.2024 21:00:00,1975,192,214,9308
07.08.2024 22:00:00,1945,193,195,9818
07.08.2024 23:00:00,1934,192,195,9841
08.08.2024 00:00:00,1935,192,197,9683
08.08.2024 01:00:00,1942,191,196,9438
08.08.2024 02:00:00,1891,187,193,9571
08.08.2024 03:00:00,1875,186,192,9483
08.08.2024 04:00:00,1802,177,185,9719
08.08.2024 05:00:00,1801,177,182,9474
08.08.2024 06:00:00,1805,179,182,9173
08.08.2024 07:00:00,1884,182,196,865
08.08.2024 08:00:00,2108,198,228,7916
08.08.2024 09:00:00,2439,23,258,6974
08.08.2024 10:00:00,277,262,291,5694
08.08.2024 11:00:00,3048,292,317,4975
08.08.2024 12:00:00,3224,317,327,4445
08.08.2024 13:00:00,332,328,337,4301
08.08.2024 14:00:00,3397,337,343,4185
08.08.2024 15:00:00,3445,339,347,3933
08.08.2024 16:00:00,3484,346,35,3746
08.08.2024 17:00:00,3445,343,347,381
08.08.2024 18:00:00,3423,335,346,3885
08.08.2024 19:00:00,3411,334,347,4039
08.08.2024 20:00:00,3052,279,329,4925
08.08.2024 21:00:00,2717,269,275,6235
08.08.2024 22:00:00,2569,243,268,7255
08.08.2024 23:00:00,2365,23,242,7944
09.08.2024 00:00:00,2287,226,234,8411
09.08.2024 01:00:00,2187,213,225,8827
09.08.2024 02:00:00,2115,21,213,8805
09.08.2024 03:00:00,2119,21,219,867
09.08.2024 04:00:00,2254,222,228,7901
09.08.2024 05:00:00,2195,212,224,8093
09.08.2024 06:00:00,2063,201,212,8746
09.08.2024 07:00:00,2044,199,217,9056
09.08.2024 08:00:00,2345,221,248,7702
09.08.2024 09:00:00,2646,251,277,6731
09.08.2024 10:00:00,294,279,308,585
09.08.2024 11:00:00,3234,31,336,4764
09.08.2024 12:00:00,3423,336,346,4073
09.08.2024 13:00:00,358,353,363,3621
09.08.2024 14:00:00,3687,362,374,3203
09.08.2024 15:00:00,372,366,376,321
09.08.2024 16:00:00,3674,364,37,3351
09.08.2024 17:00:00,36,354,369,4006
09.08.2024 18:00:00,3436,34,351,436
09.08.2024 19:00:00,3257,318,337,4527
09.08.2024 20:00:00,3013,291,314,5041
09.08.2024 21:00:00,2802,27,289,5702
09.08.2024 22:00:00,2532,247,265,6776
09.08.2024 23:00:00,24,234,249,741
10.08.2024 00:00:00,2399,232,249,7694
10.08.2024 01:00:00,2351,232,242,7936
10.08.2024 02:00:00,2336,228,238,8005
10.08.2024 03:00:00,2413,231,246,7455
10.08.2024 04:00:00,2275,223,232,7804
10.08.2024 05:00:00,2196,216,232,8033
10.08.2024 06:00:00,2284,224,235,7431
10.08.2024 07:00:00,226,222,237,7539
10.08.2024 08:00:00,2527,241,263,6771
10.08.2024 09:00:00,2793,266,292,6146
10.08.2024 10:00:00,3085,296,319,5349
10.08.2024 11:00:00,3377,322,35,4257
10.08.2024 12:00:00,362,356,366,3684
10.08.2024 13:00:00,3708,365,379,3548
10.08.2024 14:00:00,3781,375,382,3491
10.08.2024 15:00:00,3734,369,378,3471
10.08.2024 16:00:00,3755,368,379,3382
10.08.2024 17:00:00,371,364,374,3476
10.08.2024 18:00:00,3559,35,361,3922
10.08.2024 19:00:00,3407,329,35,4008
10.08.2024 20:00:00,3081,296,323,4786
10.08.2024 21:00:00,288,282,294,5214
10.08.2024 22:00:00,2632,251,281,6122
10.08.2024 23:00:00,2422,235,249,7051
11.08.2024 00:00:00,2358,234,237,7606
11.08.2024 01:00:00,2479,236,257,7029
11.08.2024 02:00:00,2523,249,257,6792
11.08.2024 03:00:00,2517,245,254,6749
11.08.2024 04:00:00,2366,231,243,7311
11.08.2024 05:00:00,2416,237,245,6976
11.08.2024 06:00:00,2357,23,244,7192
11.08.2024 07:00:00,2296,227,234,7655
11.08.2024 08:00:00,2502,236,267,7027
11.08.2024 09:00:00,2853,27,301,5749
11.08.2024 10:00:00,3168,303,33,4499
11.08.2024 11:00:00,3449,335,354,3854
11.08.2024 12:00:00,3677,358,377,3287
11.08.2024 13:00:00,3776,373,382,298
11.08.2024 14:00:00,3859,38,389,2886
11.08.2024 15:00:00,3854,382,389,3016
11.08.2024 16:00:00,3856,383,387,3008
11.08.2024 17:00:00,3769,368,383,3267
11.08.2024 18:00:00,3553,347,365,4096
11.08.2024 19:00:00,3369,331,343,4032
11.08.2024 20:00:00,3155,304,328,4478
11.08.2024 21:00:00,292,281,303,5213
11.08.2024 22:00:00,2612,253,279,6258
11.08.2024 23:00:00,2565,253,264,6671
12.08.2024 00:00:00,263,262,265,6415
12.08.2024 01:00:00,2605,258,263,6435
12.08.2024 02:00:00,2597,254,263,6384
12.08.2024 03:00:00,2514,246,261,6603
12.08.2024 04:00:00,2394,235,245,7022
12.08.2024 05:00:00,2376,235,24,6978
12.08.2024 06:00:00,235,227,24,6936
12.08.2024 07:00:00,2367,226,247,6889
12.08.2024 08:00:00,2593,249,272,6195
12.08.2024 09:00:00,29,275,307,5416
12.08.2024 10:00:00,3225,312,337,4533
12.08.2024 11:00:00,3495,339,357,3868
12.08.2024 12:00:00,3689,357,378,3457
12.08.2024 13:00:00,3818,377,388,308
12.08.2024 14:00:00,392,387,399,2905
12.08.2024 15:00:00,3926,391,398,2875
12.08.2024 16:00:00,3986,395,402,2775
12.08.2024 17:00:00,3774,358,395,3138
12.08.2024 18:00:00,3488,341,357,3674
12.08.2024 19:00:00,3288,321,338,406
12.08.2024 20:00:00,3125,305,319,4417
12.08.2024 21:00:00,2903,272,304,5078
12.08.2024 22:00:00,2724,269,275,5882
12.08.2024 23:00:00,2748,274,277,5818
13.08.2024 00:00:00,2669,261,274,6005
13.08.2024 01:00:00,2612,258,263,6088
13.08.2024 02:00:00,2631,26,264,5956
13.08.2024 03:00:00,2611,26,263,5978
13.08.2024 04:00:00,2553,25,259,6139
13.08.2024 05:00:00,2478,236,252,6433
13.08.2024 06:00:00,2244,222,232,7415
13.08.2024 07:00:00,2358,225,246,7062
13.08.2024 08:00:00,2609,248,271,613
13.08.2024 09:00:00,2923,274,305,5369
13.08.2024 10:00:00,3204,307,334,4771
13.08.2024 11:00:00,3503,337,366,42
13.08.2024 12:00:00,373,363,38,3699
13.08.2024 13:00:00,3484,343,366,4165
13.08.2024 14:00:00,3784,348,395,3534
13.08.2024 15:00:00,3949,391,401,3005
13.08.2024 16:00:00,3759,366,387,3476
13.08.2024 17:00:00,3683,363,371,3807
13.08.2024 18:00:00,3437,312,37,3951
13.08.2024 19:00:00,3023,293,31,4305
13.08.2024 20:00:00,2869,284,292,5153
13.08.2024 21:00:00,2798,27,284,5593
13.08.2024 22:00:00,2691,265,276,6162
13.08.2024 23:00:00,2595,252,277,6689
14.08.2024 00:00:00,2655,26,269,5801
14.08.2024 01:00:00,2673,266,268,5413
14.08.2024 02:00:00,2689,266,271,5346
14.08.2024 03:00:00,2691,268,27,537
14.08.2024 04:00:00,2535,243,268,5933
14.08.2024 05:00:00,2323,224,24,6672
14.08.2024 06:00:00,2251,223,228,7115
14.08.2024 07:00:00,2345,224,247,6657
14.08.2024 08:00:00,2618,249,277,5683
14.08.2024 09:00:00,2945,28,312,4961
14.08.2024 10:00:00,3282,316,343,4257
