Number of Insects,New Captures (per Event),Date,Location,Cleaning_Flag
0.0,0.0,2024-07-06,cicalino1,0
0.0,0.0,2024-07-07,cicalino1,0
0.0,0.0,2024-07-08,cicalino1,1
0.0,0.0,2024-07-09,cicalino1,1
0.0,0.0,2024-07-10,cicalino1,0
0.0,0.0,2024-07-11,cicalino1,1
0.0,0.0,2024-07-12,cicalino1,0
0.0,0.0,2024-07-13,cicalino1,0
1.0,1.0,2024-07-14,cicalino1,0
1.0,0.0,2024-07-15,cicalino1,0
2.0,1.0,2024-07-16,cicalino1,1
1.0,1.0,2024-07-17,cicalino1,0
1.0,0.0,2024-07-18,cicalino1,1
1.0,0.0,2024-07-19,cicalino1,0
1.0,0.0,2024-07-20,cicalino1,1
1.0,1.0,2024-07-21,cicalino1,0
2.0,1.0,2024-07-22,cicalino1,0
0.0,0.0,2024-07-23,cicalino1,1
0.0,0.0,2024-07-24,cicalino1,1
1.0,1.0,2024-07-25,cicalino1,0
1.0,0.0,2024-07-26,cicalino1,0
1.0,0.0,2024-07-27,cicalino1,0
3.0,2.0,2024-07-28,cicalino1,1
0.0,0.0,2024-07-29,cicalino1,0
0.0,0.0,2024-07-30,cicalino1,0
0.0,0.0,2024-07-31,cicalino1,0
0.0,0.0,2024-08-01,cicalino1,0
0.0,0.0,2024-08-02,cicalino1,1
0.0,0.0,2024-08-03,cicalino1,1
0.0,0.0,2024-08-04,cicalino1,0
0.0,0.0,2024-08-05,cicalino1,0
1.0,1.0,2024-08-06,cicalino1,0
1.0,0.0,2024-08-07,cicalino1,1
1.0,0.0,2024-08-08,cicalino1,0
1.0,0.0,2024-08-09,cicalino1,1
0.0,0.0,2024-08-10,cicalino1,0
0.0,0.0,2024-08-11,cicalino1,1
0.0,0.0,2024-08-12,cicalino1,1
0.0,0.0,2024-08-13,cicalino1,0
0.0,0.0,2024-08-14,cicalino1,0
0.0,0.0,2024-08-15,cicalino1,1
0.0,0.0,2024-08-16,cicalino1,0
0.0,0.0,2024-08-17,cicalino1,0
0.0,0.0,2024-08-18,cicalino1,1
0.0,0.0,2024-08-19,cicalino1,0
0.0,0.0,2024-08-20,cicalino1,0
0.0,0.0,2024-08-21,cicalino1,1
0.0,0.0,2024-08-22,cicalino1,0
0.0,0.0,2024-08-23,cicalino1,0
0.0,0.0,2024-07-05,cicalino2,0
0.0,0.0,2024-07-06,cicalino2,0
0.0,0.0,2024-07-07,cicalino2,0
0.0,0.0,2024-07-08,cicalino2,1
0.0,0.0,2024-07-09,cicalino2,1
0.0,0.0,2024-07-11,cicalino2,1
0.0,0.0,2024-07-12,cicalino2,0
0.0,0.0,2024-07-13,cicalino2,0
0.0,0.0,2024-07-14,cicalino2,0
0.0,0.0,2024-07-15,cicalino2,0
0.0,0.0,2024-07-16,cicalino2,1
0.0,0.0,2024-07-17,cicalino2,0
0.0,0.0,2024-07-18,cicalino2,1
1.0,1.0,2024-07-19,cicalino2,0
2.0,1.0,2024-07-20,cicalino2,1
2.0,0.0,2024-07-21,cicalino2,0
2.0,0.0,2024-07-22,cicalino2,0
2.0,0.0,2024-07-23,cicalino2,1
1.0,1.0,2024-07-24,cicalino2,1
1.0,1.0,2024-07-25,cicalino2,0
1.0,0.0,2024-07-26,cicalino2,0
1.0,0.0,2024-07-27,cicalino2,0
0.0,0.0,2024-07-28,cicalino2,1
0.0,0.0,2024-07-29,cicalino2,0
0.0,0.0,2024-07-30,cicalino2,0
0.0,0.0,2024-07-31,cicalino2,0
0.0,0.0,2024-08-01,cicalino2,0
0.0,0.0,2024-08-02,cicalino2,1
0.0,0.0,2024-08-03,cicalino2,1
0.0,0.0,2024-08-04,cicalino2,0
0.0,0.0,2024-08-05,cicalino2,0
0.0,0.0,2024-08-06,cicalino2,0
0.0,0.0,2024-08-07,cicalino2,1
0.0,0.0,2024-08-08,cicalino2,0
0.0,0.0,2024-08-09,cicalino2,1
0.0,0.0,2024-08-10,cicalino2,0
0.0,0.0,2024-08-11,cicalino2,1
0.0,0.0,2024-08-12,cicalino2,1
0.0,0.0,2024-08-13,cicalino2,0
0.0,0.0,2024-08-14,cicalino2,0
0.0,0.0,2024-08-15,cicalino2,1
0.0,0.0,2024-08-16,cicalino2,0
0.0,0.0,2024-08-17,cicalino2,0
0.0,0.0,2024-08-18,cicalino2,1
0.0,0.0,2024-08-19,cicalino2,0
0.0,0.0,2024-08-20,cicalino2,0
0.0,0.0,2024-08-21,cicalino2,1
0.0,0.0,2024-08-22,cicalino2,0
1.0,1.0,2024-08-23,cicalino2,0
0.0,0.0,2024-07-30,Imola1,0
0.0,0.0,2024-07-31,Imola1,0
0.0,0.0,2024-08-01,Imola1,0
0.0,0.0,2024-08-02,Imola1,1
0.0,0.0,2024-08-03,Imola1,1
0.0,0.0,2024-08-04,Imola1,0
0.0,0.0,2024-08-06,Imola1,0
0.0,0.0,2024-08-07,Imola1,1
0.0,0.0,2024-08-08,Imola1,0
0.0,0.0,2024-08-09,Imola1,1
0.0,0.0,2024-08-10,Imola1,0
0.0,0.0,2024-08-11,Imola1,1
0.0,0.0,2024-08-12,Imola1,1
0.0,0.0,2024-08-13,Imola1,0
0.0,0.0,2024-08-14,Imola1,0
0.0,0.0,2024-08-15,Imola1,1
0.0,0.0,2024-08-16,Imola1,0
1.0,1.0,2024-08-17,Imola1,0
1.0,0.0,2024-08-18,Imola1,1
0.0,0.0,2024-08-19,Imola1,0
4.0,4.0,2024-08-20,Imola1,0
2.0,0.0,2024-08-21,Imola1,1
4.0,2.0,2024-08-22,Imola1,0
5.0,1.0,2024-08-23,Imola1,0
0.0,0.0,2024-07-31,Imola2,0
0.0,0.0,2024-08-01,Imola2,0
0.0,0.0,2024-08-02,Imola2,1
0.0,0.0,2024-08-03,Imola2,1
0.0,0.0,2024-08-04,Imola2,0
0.0,0.0,2024-08-05,Imola2,0
0.0,0.0,2024-08-06,Imola2,0
0.0,0.0,2024-08-07,Imola2,1
0.0,0.0,2024-08-08,Imola2,0
0.0,0.0,2024-08-09,Imola2,1
0.0,0.0,2024-08-10,Imola2,0
0.0,0.0,2024-08-11,Imola2,1
0.0,0.0,2024-08-12,Imola2,1
0.0,0.0,2024-08-13,Imola2,0
0.0,0.0,2024-08-14,Imola2,0
0.0,0.0,2024-08-15,Imola2,1
0.0,0.0,2024-08-16,Imola2,0
0.0,0.0,2024-08-17,Imola2,0
1.0,1.0,2024-08-18,Imola2,1
0.0,0.0,2024-08-19,Imola2,0
0.0,0.0,2024-08-20,Imola2,0
0.0,0.0,2024-08-21,Imola2,1
0.0,0.0,2024-08-22,Imola2,0
0.0,0.0,2024-08-23,Imola2,0
0.0,0.0,2024-08-17,Imola3,0
0.0,0.0,2024-08-18,Imola3,1
0.0,0.0,2024-08-19,Imola3,0
1.0,1.0,2024-08-20,Imola3,0
1.0,0.0,2024-08-21,Imola3,1
2.0,1.0,2024-08-22,Imola3,0
3.0,1.0,2024-08-23,Imola3,0
