Location,Date,Avg Temperature,Avg Humidity,Min Temperature,Max Temperature
Imola3,2024-07-30,29.31833333333333,43.58416666666667,21.2,34.8
Imola3,2024-07-31,28.71666666666667,52.04291666666666,19.3,37.9
Imola3,2024-08-01,31.15625,43.78875,22.4,39.8
Imola3,2024-08-02,27.49291666666667,67.30583333333333,19.9,36.6
Imola3,2024-08-03,25.540000000000003,72.49,19.7,31.5
Imola3,2024-08-04,26.887391304347826,60.83347826086957,18.5,35.2
Imola3,2024-08-05,27.370833333333334,55.02458333333333,18.8,36.0
Imola3,2024-08-06,27.956666666666667,60.43875,20.1,36.3
Imola3,2024-08-07,27.284166666666668,64.18875,19.2,37.6
Imola3,2024-08-08,26.28708333333333,64.6275,17.6,34.4
Imola3,2024-08-09,28.027083333333334,61.29666666666666,19.8,36.3
Imola3,2024-08-10,29.257916666666663,56.265833333333326,21.6,37.3
Imola3,2024-08-11,29.967916666666667,52.7125,22.5,38.4
Imola3,2024-08-12,30.435000000000002,50.3675,22.7,39.2
Imola3,2024-08-13,30.034583333333334,51.74041666666667,22.3,38.7
Imola3,2024-08-14,29.29625,52.75208333333333,22.2,38.8
Imola3,2024-08-15,26.8,63.40375,20.0,33.4
Imola3,2024-08-16,28.24416666666667,61.42875,21.5,35.8
Imola3,2024-08-17,26.89,64.88125000000001,20.5,36.4
Imola3,2024-08-18,25.890416666666667,64.84416666666667,21.6,33.7
Imola3,2024-08-19,21.65041666666667,83.20541666666666,18.3,25.7
Imola3,2024-08-20,23.00375,87.47208333333333,20.5,28.6
Imola3,2024-08-21,26.95375,66.22041666666667,21.1,34.0
Imola3,2024-08-22,25.773333333333337,72.58916666666667,19.1,33.5
Imola3,2024-08-23,22.74,90.89,22.7,22.8
